model_id,canonical_family_id,domain,cue_type,canonical_answer,S_lp,S_lp_binary,primary_monitor_score,monitor_layer,monitor_site,entropy_score,source_experiment_ids,primary_monitor_score_null_reason,monitor_layer_null_reason,monitor_site_null_reason,entropy_score_null_reason
qwen2p5_7b_instruct,CM_B_STD_013,mechanics,nongoverning_distractor,10.005 N,4.96875,1,0.8525696067640379,18,resid_post_last_prompt,2.7818205173276365,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_STD_014,mechanics,nongoverning_distractor,1.334 N,2.40625,1,0.9463580424668775,18,resid_post_last_prompt,1.1594918657406572,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_STD_015,mechanics,nongoverning_distractor,4.002 N,2.625,1,0.9095125372456909,18,resid_post_last_prompt,1.3212829273924453,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_001,mechanics,nongoverning_distractor,18 N,2.46875,1,0.6737359869742897,18,resid_post_last_prompt,0.9378580045607917,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_002,mechanics,nongoverning_distractor,12 N,1.71875,1,0.22542818769754522,18,resid_post_last_prompt,0.6278256438395138,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_003,mechanics,nongoverning_distractor,24.5 N,0.21875,0,0.23348299133486203,18,resid_post_last_prompt,0.2969777782616908,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_004,mechanics,nongoverning_distractor,14.7 N,0.0,0,0.6965479352874401,18,resid_post_last_prompt,0.2679129406169101,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_005,mechanics,nongoverning_distractor,29.4 N,0.0,0,0.23537041508091724,18,resid_post_last_prompt,0.6768980114971161,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_006,mechanics,nongoverning_distractor,18 N,3.140625,1,0.789849409711268,18,resid_post_last_prompt,1.2680821056077165,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_007,mechanics,nongoverning_distractor,9.8 N,0.0,0,0.5056535906561449,18,resid_post_last_prompt,0.47074769628186974,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
