model_id,canonical_family_id,domain,cue_type,S_lp,S_lp_binary,primary_monitor_score,monitor_layer,causal_site,intervention_effect,source_experiment_ids,S_lp_null_reason,monitor_null_reason,causal_null_reason
qwen_primary,CM_B_UM_002,mechanics,nongoverning_distractor,1.71875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_003,mechanics,nongoverning_distractor,0.21875,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_004,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_005,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_006,mechanics,nongoverning_distractor,3.140625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_007,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_008,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_009,mechanics,nongoverning_distractor,4.375,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_010,mechanics,nongoverning_distractor,1.25,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_011,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_012,mechanics,nongoverning_distractor,2.75,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_013,mechanics,nongoverning_distractor,3.453125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_014,mechanics,nongoverning_distractor,1.84375,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_015,electrostatics_circuits,nongoverning_distractor,0.578125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_016,electrostatics_circuits,nongoverning_distractor,1.1640625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_017,electrostatics_circuits,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_018,electrostatics_circuits,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_019,electrostatics_circuits,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_020,electrostatics_circuits,nongoverning_distractor,0.34375,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_021,electrostatics_circuits,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_022,electrostatics_circuits,nongoverning_distractor,2.078125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_023,electrostatics_circuits,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
