model_id,model_role,model_revision,canonical_family_id,template_id,domain,cue_type,benchmark_version,split_membership,family_manifest_hash,solver_certificate_hash,automated_solver_status,human_validation_status,adjudication_status,n_variants_expected,n_variants_observed,n_variants_parsed,family_parse_rate,base_variant_correct,all_variants_correct,family_correctness_rate,S_lp,S_lp_binary,answer_flip_rate,distributional_sensitivity,primary_monitor_score,monitor_layer,monitor_site,entropy_score,confidence_score,black_box_counterfactual_score,cot_classifier_score,answer_rationale_score,correctness_probe_score,causal_panel_eligible,causal_site,intervention_type,normalized_effect,raw_correct_logprob_effect,raw_S_lp_effect,sign_consistent,general_damage_metric,exclusion_flag,exclusion_reason,evidence_status,paper_eligibility,source_experiment_ids,primary_monitor_score_null_reason,monitor_layer_null_reason,monitor_site_null_reason,entropy_score_null_reason,confidence_score_null_reason,black_box_counterfactual_score_null_reason,cot_classifier_score_null_reason,answer_rationale_score_null_reason,correctness_probe_score_null_reason,causal_panel_eligible_null_reason,causal_site_null_reason,intervention_type_null_reason,normalized_effect_null_reason,general_damage_metric_null_reason
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_011,CM_A_STD_011,electrostatics_circuits,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,fc13bb284b28683c7e9569ec6a9c3cefd8361fc3f3d2f54a91b37171f8077972,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.0,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_012,CM_A_STD_012,electrostatics_circuits,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,08dd61f1476b7e3033e8acbdc4993474f0a7262e41dd81aaaf786c5fed8ecc52,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.390625,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_013,CM_A_STD_013,electrostatics_circuits,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,18aeb0755fed974a3be3b5b272fed3e6089b65b05533a46acf7c5118481af0db,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.0,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_014,CM_A_STD_014,electrostatics_circuits,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,79a749f47188c13a3202ebe5282fae70d02aa1fdeabe2cdd9e171347df832123,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.0,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_015,CM_A_STD_015,electrostatics_circuits,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,4eafea7c13fdabebdc92a58c7b5db2b28cba6b21ab56276abb88e5aba5df3d00,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.0,0,0.8333333333333334,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_016,CM_A_STD_016,electrostatics_circuits,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,8ec4a487e572275249cb6625de90eef76152dbca2e098118666ebbfca33adb28,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.0,0,0.5,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_017,CM_A_STD_017,thermodynamics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,fe418bbd0ccf5ebecc7f9afc7d5b5a9dac8534015fd306e75c215a325ae127db,certified,pending_stage13,not_started,4,4,4,1.0,,,,6.203125,1,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_018,CM_A_STD_018,thermodynamics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,6fadb82589fbc47d41a17c1443e9c42cbaeb40c0e3e2fd7ddf9d5f0da29b45c7,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.296875,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_019,CM_A_STD_019,thermodynamics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,93238d4dbe681c0b76d3595f609b054958da9e89eee6757de10d6120d37553ff,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.03125,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
llama3p1_8b_instruct,primary_dense,unresolved,CM_A_STD_020,CM_A_STD_020,thermodynamics,irrelevant_variable,physmon_canonical_155_v1,discovery,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,4f749cc1637183843bc385c8b194e0db2d5f2cbdc4791c70e4d81d4cbcf48545,certified,pending_stage13,not_started,4,4,4,1.0,,,,0.46875,0,0.0,,,,,,,,,,,,,,,,,,,False,,exploratory_unvalidated,False,"[""stage6_llama_behavioural_full_rerun""]",human_validation_pending,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,not_measured,human_validation_pending,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
