template_id,domain,cue_type,governing_law,stage6_class,qwen_hat_S_raw,qwen_hat_S,llama_hat_S_raw,llama_hat_S,qwen_parse_ok,llama_parse_ok,both_sensitive,notes,qwen_S_lp,llama_S_lp
CM_B_STD_012,electrostatics_circuits,nongoverning_distractor,electric_field_second_charge_scale,,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,True,True,True,,1.8125,1.046875
CM_B_STD_013,mechanics,nongoverning_distractor,gravitational_force_satellite,,0.8333333333333334,0.8333333333333334,0.0,0.0,True,True,False,,4.96875,0.25
CM_B_STD_014,mechanics,nongoverning_distractor,gravitational_force_distance_distractor,,1.0,1.0,0.6666666666666666,0.6666666666666666,True,True,True,,2.40625,0.140625
CM_B_STD_015,mechanics,nongoverning_distractor,gravitational_force_mass_distractor,,1.0,1.0,0.6666666666666666,0.6666666666666666,True,True,True,,2.625,0.53125
CM_B_UM_001,mechanics,nongoverning_distractor,hooke_law_force,force_force,0.0,0.0,0.0,0.0,True,True,False,,2.46875,1.421875
CM_B_UM_002,mechanics,nongoverning_distractor,newton_second_law_force,force_force,0.0,0.0,0.0,0.0,True,True,False,,1.71875,0.234375
CM_B_UM_003,mechanics,nongoverning_distractor,normal_force_static_equilibrium,force_force,0.0,0.0,0.0,0.0,True,True,False,,0.21875,0.21875
CM_B_UM_004,mechanics,nongoverning_distractor,kinetic_friction_force,force_force,0.0,0.0,0.0,0.0,True,True,False,,0.0,1.484375
CM_B_UM_005,mechanics,nongoverning_distractor,tension_static_support,force_force,0.0,0.0,0.5,0.5,True,True,False,,0.0,1.375
CM_B_UM_006,mechanics,nongoverning_distractor,centripetal_force,force_force,0.0,0.0,0.0,0.0,True,True,False,,3.140625,0.0
CM_B_UM_007,mechanics,nongoverning_distractor,incline_force_component,force_force,0.6666666666666666,0.6666666666666666,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_008,mechanics,nongoverning_distractor,buoyant_force,force_force,0.0,0.0,0.6666666666666666,0.6666666666666666,True,True,False,,0.0,0.0
CM_B_UM_009,mechanics,nongoverning_distractor,constant_acceleration_velocity,velocity_velocity,0.0,0.0,0.0,0.0,True,True,False,,4.375,0.53125
CM_B_UM_010,mechanics,nongoverning_distractor,average_velocity_uniform_motion,velocity_velocity,0.0,0.0,0.0,0.0,True,True,False,,1.25,0.0
CM_B_UM_011,mechanics,nongoverning_distractor,free_fall_velocity,velocity_velocity,0.0,0.0,0.0,0.0,True,True,False,,0.0,2.34375
CM_B_UM_012,mechanics,nongoverning_distractor,wave_speed,velocity_velocity,0.0,0.0,0.8333333333333334,0.8333333333333334,True,True,False,,2.75,0.0
CM_B_UM_013,mechanics,nongoverning_distractor,circular_speed,velocity_velocity,0.6666666666666666,0.6666666666666666,0.0,0.0,True,False,False,llama_degraded,3.453125,2.515625
