expected_run_id,source,stage,experiment_family,model_id,configuration_identity,panel_identity,job_id_if_known,result_directory,raw_artifacts,summary_artifacts,logs,config,confidence,registry_experiment_id,mapping_status
results_stage10_full_head_sweep_l16_head_3_run_causal_patching_events,summary_or_raw_artifact,stage10,head_3,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_3,results/stage10/full_head_sweep_l16/head_3/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_3/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_4_patching_results,summary_or_raw_artifact,stage10,head_4,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_4,results/stage10/full_head_sweep_l16/head_4/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_4_patching_summary,summary_or_raw_artifact,stage10,head_4,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_4,,results/stage10/full_head_sweep_l16/head_4/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_4_run_causal_patching_events,summary_or_raw_artifact,stage10,head_4,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_4,results/stage10/full_head_sweep_l16/head_4/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_4/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_5_patching_results,summary_or_raw_artifact,stage10,head_5,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_5,results/stage10/full_head_sweep_l16/head_5/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_5_patching_summary,summary_or_raw_artifact,stage10,head_5,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_5,,results/stage10/full_head_sweep_l16/head_5/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_5_run_causal_patching_events,summary_or_raw_artifact,stage10,head_5,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_5,results/stage10/full_head_sweep_l16/head_5/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_5/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_6_patching_results,summary_or_raw_artifact,stage10,head_6,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_6,results/stage10/full_head_sweep_l16/head_6/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_6_patching_summary,summary_or_raw_artifact,stage10,head_6,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_6,,results/stage10/full_head_sweep_l16/head_6/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_6_run_causal_patching_events,summary_or_raw_artifact,stage10,head_6,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_6,results/stage10/full_head_sweep_l16/head_6/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_6/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_7_patching_results,summary_or_raw_artifact,stage10,head_7,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_7,results/stage10/full_head_sweep_l16/head_7/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_7_patching_summary,summary_or_raw_artifact,stage10,head_7,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_7,,results/stage10/full_head_sweep_l16/head_7/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_7_run_causal_patching_events,summary_or_raw_artifact,stage10,head_7,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_7,results/stage10/full_head_sweep_l16/head_7/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_7/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_8_patching_results,summary_or_raw_artifact,stage10,head_8,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_8,results/stage10/full_head_sweep_l16/head_8/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_8_patching_summary,summary_or_raw_artifact,stage10,head_8,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_8,,results/stage10/full_head_sweep_l16/head_8/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_8_run_causal_patching_events,summary_or_raw_artifact,stage10,head_8,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_8,results/stage10/full_head_sweep_l16/head_8/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_8/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_9_patching_results,summary_or_raw_artifact,stage10,head_9,unresolved,patching_results,unresolved,,results/stage10/full_head_sweep_l16/head_9,results/stage10/full_head_sweep_l16/head_9/patching_results.csv,,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_9_patching_summary,summary_or_raw_artifact,stage10,head_9,unresolved,patching_summary,unresolved,,results/stage10/full_head_sweep_l16/head_9,,results/stage10/full_head_sweep_l16/head_9/patching_summary.json,,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_9_run_causal_patching_events,summary_or_raw_artifact,stage10,head_9,unresolved,run_causal_patching_events,unresolved,,results/stage10/full_head_sweep_l16/head_9,results/stage10/full_head_sweep_l16/head_9/run_causal_patching_events.jsonl,,results/stage10/full_head_sweep_l16/head_9/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_full_head_sweep_l16_head_sweep_summary,summary_or_raw_artifact,stage10,full_head_sweep_l16,unresolved,head_sweep_summary,unresolved,,results/stage10/full_head_sweep_l16,,results/stage10/full_head_sweep_l16/head_sweep_summary.json,,,medium,,unmatched
results_stage10_head_sweep_l16_run_attention_analysis_events,summary_or_raw_artifact,stage10,head_sweep_l16,unresolved,run_attention_analysis_events,unresolved,,results/stage10/head_sweep_l16,results/stage10/head_sweep_l16/run_attention_analysis_events.jsonl,,results/stage10/head_sweep_l16/run_attention_analysis_events.jsonl,,medium,,unmatched
results_stage10_llama_attention_layer_19_run_attention_analysis_events,summary_or_raw_artifact,stage10,layer_19,llama,run_attention_analysis_events,unresolved,,results/stage10/llama_attention/layer_19,results/stage10/llama_attention/layer_19/run_attention_analysis_events.jsonl,,results/stage10/llama_attention/layer_19/run_attention_analysis_events.jsonl,,medium,,unmatched
results_stage10_llama_attention_layer_20_run_attention_analysis_events,summary_or_raw_artifact,stage10,layer_20,llama,run_attention_analysis_events,unresolved,,results/stage10/llama_attention/layer_20,results/stage10/llama_attention/layer_20/run_attention_analysis_events.jsonl,,results/stage10/llama_attention/layer_20/run_attention_analysis_events.jsonl,,medium,,unmatched
results_stage10_llama_attention_layer_21_run_attention_analysis_events,summary_or_raw_artifact,stage10,layer_21,llama,run_attention_analysis_events,unresolved,,results/stage10/llama_attention/layer_21,results/stage10/llama_attention/layer_21/run_attention_analysis_events.jsonl,,results/stage10/llama_attention/layer_21/run_attention_analysis_events.jsonl,,medium,,unmatched
results_stage10_llama_head_knockout_patching_results,summary_or_raw_artifact,stage10,llama_head_knockout,llama,patching_results,unresolved,,results/stage10/llama_head_knockout,results/stage10/llama_head_knockout/patching_results.csv,,,,medium,,unmatched
results_stage10_llama_head_knockout_patching_summary,summary_or_raw_artifact,stage10,llama_head_knockout,llama,patching_summary,unresolved,,results/stage10/llama_head_knockout,,results/stage10/llama_head_knockout/patching_summary.json,,,medium,,unmatched
results_stage10_llama_head_knockout_run_causal_patching_events,summary_or_raw_artifact,stage10,llama_head_knockout,llama,run_causal_patching_events,unresolved,,results/stage10/llama_head_knockout,results/stage10/llama_head_knockout/run_causal_patching_events.jsonl,,results/stage10/llama_head_knockout/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_llama_head_selection_sweep_head_selection_summary,summary_or_raw_artifact,stage10,llama_head_selection_sweep,llama,head_selection_summary,unresolved,,results/stage10/llama_head_selection_sweep,,results/stage10/llama_head_selection_sweep/head_selection_summary.json,,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_0_patching_results,summary_or_raw_artifact,stage10,head_0,llama,patching_results,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_0,results/stage10/llama_head_selection_sweep/layer_19/head_0/patching_results.csv,,,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_0_patching_summary,summary_or_raw_artifact,stage10,head_0,llama,patching_summary,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_0,,results/stage10/llama_head_selection_sweep/layer_19/head_0/patching_summary.json,,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_0_run_causal_patching_events,summary_or_raw_artifact,stage10,head_0,llama,run_causal_patching_events,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_0,results/stage10/llama_head_selection_sweep/layer_19/head_0/run_causal_patching_events.jsonl,,results/stage10/llama_head_selection_sweep/layer_19/head_0/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_12_patching_results,summary_or_raw_artifact,stage10,head_12,llama,patching_results,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_12,results/stage10/llama_head_selection_sweep/layer_19/head_12/patching_results.csv,,,,medium,,unmatched
