family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,original_S_lp,patched_S_lp,recovery_fraction
TH_B_UM_006,0,1,8,resid_post_last_prompt,3.40625,3.1875,0.06422018348623848
TH_B_UM_006,0,1,12,resid_post_last_prompt,3.40625,2.953125,0.1330275229357798
TH_B_UM_006,0,1,14,resid_post_last_prompt,3.40625,3.171875,0.06880733944954132
TH_B_UM_006,0,1,15,resid_post_last_prompt,3.40625,3.140625,0.07798165137614677
TH_B_UM_006,0,1,16,resid_post_last_prompt,3.40625,3.296875,0.032110091743119296
TH_B_UM_006,0,1,17,resid_post_last_prompt,3.40625,3.078125,0.09633027522935778
TH_B_UM_006,0,1,18,resid_post_last_prompt,3.40625,2.84375,0.1651376146788991
TH_B_UM_006,0,1,19,resid_post_last_prompt,3.40625,2.875,0.15596330275229353
TH_B_UM_006,0,1,20,resid_post_last_prompt,3.40625,2.90625,0.14678899082568808
TH_B_UM_006,0,1,22,resid_post_last_prompt,3.40625,2.796875,0.17889908256880738
TH_B_UM_006,0,1,25,resid_post_last_prompt,3.40625,2.703125,0.20642201834862384
CM_B_UM_006,0,2,4,resid_post_last_prompt,3.140625,3.265625,-0.03980099502487566
CM_B_UM_006,0,2,8,resid_post_last_prompt,3.140625,3.078125,0.01990049751243783
CM_B_UM_006,0,2,12,resid_post_last_prompt,3.140625,3.046875,0.02985074626865669
CM_B_UM_006,0,2,14,resid_post_last_prompt,3.140625,3.140625,0.0
CM_B_UM_006,0,2,15,resid_post_last_prompt,3.140625,3.171875,-0.00995024875621886
CM_B_UM_006,0,2,16,resid_post_last_prompt,3.140625,3.078125,0.01990049751243783
CM_B_UM_006,0,2,17,resid_post_last_prompt,3.140625,3.015625,0.03980099502487566
CM_B_UM_006,0,2,18,resid_post_last_prompt,3.140625,3.421875,-0.08955223880597019
CM_B_UM_006,0,2,19,resid_post_last_prompt,3.140625,3.453125,-0.09950248756218905
CM_B_UM_006,0,2,20,resid_post_last_prompt,3.140625,3.515625,-0.11940298507462677
CM_B_UM_006,0,2,22,resid_post_last_prompt,3.140625,3.546875,-0.12935323383084585
CM_B_UM_006,0,2,25,resid_post_last_prompt,3.140625,3.546875,-0.12935323383084585
TH_B_UM_008,0,2,4,resid_post_last_prompt,2.890625,2.796875,0.032432432432432434
TH_B_UM_008,0,2,8,resid_post_last_prompt,2.890625,3.0625,-0.05945945945945952
TH_B_UM_008,0,2,12,resid_post_last_prompt,2.890625,3.046875,-0.054054054054053946
TH_B_UM_008,0,2,14,resid_post_last_prompt,2.890625,3.09375,-0.07027027027027022
TH_B_UM_008,0,2,15,resid_post_last_prompt,2.890625,3.203125,-0.10810810810810811
TH_B_UM_008,0,2,16,resid_post_last_prompt,2.890625,3.65625,-0.2648648648648648
TH_B_UM_008,0,2,17,resid_post_last_prompt,2.890625,3.671875,-0.2702702702702702
TH_B_UM_008,0,2,18,resid_post_last_prompt,2.890625,3.40625,-0.17837837837837833
TH_B_UM_008,0,2,19,resid_post_last_prompt,2.890625,3.234375,-0.11891891891891881
TH_B_UM_008,0,2,20,resid_post_last_prompt,2.890625,3.046875,-0.054054054054053946
TH_B_UM_008,0,2,22,resid_post_last_prompt,2.890625,2.875,0.00540540540540535
TH_B_UM_008,0,2,25,resid_post_last_prompt,2.890625,3.015625,-0.043243243243243246
EL_B_002,0,2,4,resid_post_last_prompt,2.8203125,2.7890625,0.011080332409972304
EL_B_002,0,2,8,resid_post_last_prompt,2.8203125,2.6640625,0.05540166204986152
EL_B_002,0,2,12,resid_post_last_prompt,2.8203125,0.9140625,0.6759002770083102
EL_B_002,0,2,14,resid_post_last_prompt,2.8203125,0.1796875,0.9362880886426592
EL_B_002,0,2,15,resid_post_last_prompt,2.8203125,0.1015625,0.96398891966759
EL_B_002,0,2,16,resid_post_last_prompt,2.8203125,-0.109375,1.0387811634349031
EL_B_002,0,2,17,resid_post_last_prompt,2.8203125,-0.078125,1.0277008310249307
EL_B_002,0,2,18,resid_post_last_prompt,2.8203125,-0.1875,1.0664819944598338
EL_B_002,0,2,19,resid_post_last_prompt,2.8203125,-0.28125,1.0997229916897506
EL_B_002,0,2,20,resid_post_last_prompt,2.8203125,-0.328125,1.1163434903047091
EL_B_002,0,2,22,resid_post_last_prompt,2.8203125,-0.234375,1.0831024930747923
EL_B_002,0,2,25,resid_post_last_prompt,2.8203125,-0.0234375,1.0083102493074791
CM_B_UM_012,0,2,4,resid_post_last_prompt,2.75,2.203125,0.19886363636363635
CM_B_UM_012,0,2,8,resid_post_last_prompt,2.75,2.203125,0.19886363636363635
CM_B_UM_012,0,2,12,resid_post_last_prompt,2.75,1.90625,0.30681818181818177
CM_B_UM_012,0,2,14,resid_post_last_prompt,2.75,1.890625,0.3125
CM_B_UM_012,0,2,15,resid_post_last_prompt,2.75,1.6875,0.38636363636363635
CM_B_UM_012,0,2,16,resid_post_last_prompt,2.75,2.28125,0.17045454545454541
CM_B_UM_012,0,2,17,resid_post_last_prompt,2.75,2.359375,0.14204545454545459
CM_B_UM_012,0,2,18,resid_post_last_prompt,2.75,3.515625,-0.27840909090909083
CM_B_UM_012,0,2,19,resid_post_last_prompt,2.75,3.625,-0.3181818181818181
CM_B_UM_012,0,2,20,resid_post_last_prompt,2.75,3.984375,-0.44886363636363646
CM_B_UM_012,0,2,22,resid_post_last_prompt,2.75,4.0,-0.4545454545454546
CM_B_UM_012,0,2,25,resid_post_last_prompt,2.75,3.09375,-0.125
CM_B_004,0,1,4,resid_post_last_prompt,2.671875,2.65625,0.005847953216374324
CM_B_004,0,1,8,resid_post_last_prompt,2.671875,2.4375,0.08771929824561409
